101050305,1010503,Kwisanga 
101050306,1010503,Mageragere 
101050307,1010503,Mataba 
101050308,1010503,Rushubi 
101050401,1010504,Akanakamageragere 
101050402,1010504,Gatovu 
101050403,1010504,Nyabitare 
101050404,1010504,Nyarubande 
101050405,1010504,Rubungo 
101050406,1010504,Rwindonyi 
101050501,1010505,Akabungo 
101050502,1010505,Akamashinge 
101050503,1010505,Maya 
101050504,1010505,Nyarufunzo 
101050505,1010505,Nyarurama 
101050506,1010505,Rubete 
101050601,1010506,Amahoro 
101050602,1010506,Ayabaramba 
101050603,1010506,Gikuyu 
101050604,1010506,Iterambere 
101050605,1010506,Nyabirondo 
101050606,1010506,Nyarurenzi 
101050701,1010507,Gisunzu 
101050702,1010507,Mpanga 
101050703,1010507,Nkomero 
101050704,1010507,Runzenze 
101050705,1010507,Uwurugenge 
101060101,1010601,Amahoro 
101060102,1010601,Amizero 
101060103,1010601,Inyarurembo 
101060104,1010601,Kabirizi 
101060105,1010601,Ubuzima 
101060106,1010601,Uruhimbi 
101060201,1010602,Icyeza 
101060202,1010602,Ikana 
101060203,1010602,Intwari 
101060204,1010602,Kabasengerezi 
101060301,1010603,Hirwa 
101060302,1010603,Ikaze 
101060303,1010603,Imanzi 
101060304,1010603,Ingenzi 
101060305,1010603,Ituze 
101060306,1010603,Sangwa 
101060307,1010603,Umwezi 
101060401,1010604,Abeza 
101060402,1010604,Icyerekezo 
101060403,1010604,Indatwa 
101060404,1010604,Rwezangoro 
101060405,1010604,Ubucuruzi 
101060406,1010604,Umutekano 
101060501,1010605,Imihigo 
101060502,1010605,Impala 
101060503,1010605,Rugenge 
101060504,1010605,Ubumanzi 
101060601,1010606,Indamutsa 
101060602,1010606,Ingoro 
101060603,1010606,Inkingi 
101060604,1010606,Intiganda 
101060605,1010606,Iwacu 
101060606,1010606,Tetero 
101060701,1010607,Bwahirimba 
101060702,1010607,Duterimbere 
101060703,1010607,Isangano 
101060704,1010607,Nyanza 
101060705,1010607,Urugwiro 
101060706,1010607,Urwego 
101070101,1010701,Kabusunzu 
101070102,1010701,Munanira 
101070103,1010701,Ntaraga 
101070104,1010701,Nyagasozi 
101070105,1010701,Rurembo 
101070201,1010702,Gasiza 
101070202,1010702,Kamwiza 
101070203,1010702,Kanyange 
101070204,1010702,Karudandi 
101070205,1010702,Kigabiro 
101070206,1010702,Kokobe 
101070207,1010702,Mucyuranyana 
101070208,1010702,Nkundumurimbo 
101070301,1010703,Akinkware 
101070302,1010703,Gapfupfu 
101070303,1010703,Gasiza 
101070304,1010703,Kariyeri 
101070305,1010703,Kokobe 
101070306,1010703,Munini 
101070307,1010703,Nyakabanda 
101070308,1010703,Rwagitanga 
101070401,1010704,Ibuhoro 
101070402,1010704,Kabeza 
101070403,1010704,Kanyiranganji 
101070404,1010704,Karujongi 
101070405,1010704,Kigarama 
101070406,1010704,Kirwa 
101080101,1010801,Amizero 
101080102,1010801,Gabiro 
101080103,1010801,Imanzi 
101080104,1010801,Ingenzi 
101080105,1010801,Intwari 
101080106,1010801,Karisimbi 
101080107,1010801,Mahoro 
101080108,1010801,Mpano 
101080109,1010801,Muhabura 
101080110,1010801,Muhoza 
101080111,1010801,Munini 
101080112,1010801,Rugero 
101080113,1010801,Shema 
101080201,1010802,Kagunga 
101080202,1010802,Karukoro 
101080203,1010802,Rwintare 
101080301,1010803,Akanyana 
101080302,1010803,Akanyirazaninka 
101080303,1010803,Akarekare 
101080304,1010803,Akatabaro 
101080305,1010803,Irembo 
101080306,1010803,Itaba 
101080307,1010803,Kiberinka 
101080308,1010803,Mumena 
101080309,1010803,Rwampara 
101080401,1010804,Gatare 
101080402,1010804,Kiberinka 
101080403,1010804,Munanira 
101080404,1010804,Riba 
101080405,1010804,Rubona 
101080406,1010804,Rugarama 
101080407,1010804,Runyinya 
101080408,1010804,Rusisiro 
101080409,1010804,Tetero 
101090101,1010901,Agatare 
101090102,1010901,Amajyambere 
101090103,1010901,Inyambo 
101090104,1010901,Meraneza 
101090105,1010901,Uburezi 
101090106,1010901,Umucyo 
101090107,1010901,Umurava 
101090201,1010902,Biryogo 
101090202,1010902,Gabiro 
101090203,1010902,Isoko 
101090204,1010902,Nyiranuma 
101090205,1010902,Umurimo 
101090301,1010903,Amizero 
101090302,1010903,Cercle Sportif 
101090303,1010903,Ganza 
101090304,1010903,Imena 
101090305,1010903,Indangamirwa 
101090306,1010903,Ingenzi 
101090307,1010903,Inyarurembo 
101090308,1010903,Ishema 
101090309,1010903,Isibo 
101090310,1010903,Muhabura 
101090311,1010903,Rugunga 
101090312,1010903,Sugira 
101090401,1010904,Amahoro 
101090402,1010904,Gacaca 
101090403,1010904,Intwari 
101090404,1010904,Rwampara 
101090405,1010904,Umucyo 
101090406,1010904,Umuganda 
101100101,1011001,Muhoza 
101100102,1011001,Muhuza 
101100103,1011001,Mumararungu 
101100104,1011001,Murambi 
101100201,1011002,Buhoro 
101100202,1011002,Gasabo 
101100203,1011002,Mutara 
101100204,1011002,Ubusabane 
101100301,1011003,Abatarushwa 
101100302,1011003,Indatwa 
101100303,1011003,Inkerakubanza 
101100304,1011003,Intwari 
101100401,1011004,Amahoro 
101100402,1011004,Umucyo 
101100403,1011004,Urumuri 
102010101,1020101,Akakaza 
102010102,1020101,Kigarama 
102010103,1020101,Kingabo 
102010104,1020101,Muhozi 
102010105,1020101,Rubungo 
102010106,1020101,Ryakigogo 
102010107,1020101,Zindiro 
102010201,1020102,Kagarama 
102010202,1020102,Kayumba 
102010203,1020102,Ramba 
102010204,1020102,Rebero 
102010205,1020102,Rugando 
102010301,1020103,Kigabiro 
102010302,1020103,Kiyoro 
102010303,1020103,Murarambo 
102010304,1020103,Nkona 
102010305,1020103,Nyakabingo 
102010306,1020103,Rukoma 
102010401,1020104,Birembo 
102010402,1020104,Gisasa 
102010403,1020104,Munini 
102010404,1020104,Ruhinga 
102010405,1020104,Uwaruraza 
102010501,1020105,Akabenejuru 
102010502,1020105,Akasedogo 
102010503,1020105,Akimpama 
102010504,1020105,Burima 
102010505,1020105,Kityazo 
102010601,1020106,Bushya 
